,0 ,Year ,Year
0,1,Quarter ,Quarter
1,2,Month ,Month
2,3,DayofMonth ,Day of Month
3,4,DayOfWeek ,Day of Week (numeric)
4,5,FlightDate ,Date of Flight
5,6,Reporting_Airline ,Airline Unique Carrier Code
6,7,DOT_ID_Reporting_Airline ,Number assigned by US DOT to identify a unique airline
7,8,IATA_CODE_Reporting_Airline ,Airline Code assigned by IATA
8,9,Tail_Number ,Aircraft tail number
9,10,Flight_Number_Reporting_Airline ,Flight Number
10,11,OriginAirportID ,Origin Airport ID
11,12,OriginAirportSeqID ,Origin Airport Sequence ID
12,13,OriginCityMarketID ,Origin City Market ID
13,14,Origin ,Origin Airport Code
14,15,OriginCityName ,Origin City Name
15,16,OriginState ,Origin State
16,17,OriginStateFips ,Origin State FIPS place code
17,18,OriginStateName ,Origin State Name
18,19,OriginWac ,Origin Airport World Area Code
19,20,DestAirportID ,Destination Airport ID
20,21,DestAirportSeqID ,Destination Airport Sequence ID
21,22,DestCityMarketID ,Destination City Market ID
22,23,Dest ,Destination Airport Code
23,24,DestCityName ,Destination City Name
24,25,DestState ,Destination State
25,26,DestStateFips ,Destination State FIPS code
26,27,DestStateName ,Destination State Name
27,28,DestWac ,Destination Airport World Area Code
28,29,CRSDepTime ,Computer Reservation System (scheduled) Departure Time
29,30,DepTime ,Departure Time (hhmm)
30,31,DepDelay ,Departure delay (minutes)
31,32,DepDelayMinutes ,Absolute value of DepDelay
32,33,DepDel15 ,Departure Delay >15?
33,34,DepartureDelayGroups ,Departure delay 15 minute interval group
34,35,DepTimeBlk ,Computer Reservation System (scheduled) time block
35,36,TaxiOut ,Taxi out time (minutes)
36,37,WheelsOff ,"Wheels off time (local time, hhmm)"
37,38,WheelsOn ,Wheels on time (local time hhmm)
38,39,TaxiIn ,Taxi in time (minutes)
39,40,CRSArrTime ,Computer Reservation System (scheduled) Arrival Time
40,41,ArrTime ,"Arrival time (local time, hhmm)"
41,42,ArrDelay ,Arrival delay (minutes)
42,43,ArrDelayMinutes ,Absolute value of ArrDelay
43,44,ArrDel15 ,Arrival Delay >15?
44,45,ArrivalDelayGroups ,Arrival delay 15 minute interval group
45,46,ArrTimeBlk ,Computer Reservation System (scheduled) arrival time block
46,47,Cancelled ,1 = canceled
47,48,CancellationCode ,"A = Carrier, B = Weather, C = National Air System, D = Security"
48,49,Diverted ,1 = diverted
49,50,CRSElapsedTime ,Computer Reservation System (scheduled) elapsed time
50,51,ActualElapsedTime ,Actual elapsed time
51,52,AirTime ,Flight time (minutes)
52,53,Flights ,Number of flights
53,54,Distance ,Distance between airports (miles)
54,55,DistanceGroup ,250 mile distance interval group
55,56,CarrierDelay ,Carrier delay (minutes)
56,57,WeatherDelay ,Weather delay (minutes)
57,58,NASDelay ,National Air System delay (minutes)
58,59,SecurityDelay ,Security delay (minutes)
59,60,LateAircraftDelay ,Late aircraft delay (minutes)
60,61,FirstDepTime ,First gate departure time at origin airport
61,62,TotalAddGTime ,Total ground time away from gate
62,63,LongestAddGTime ,Longest time away from gate
63,64,DivAirportLandings ,Number of diverted airport landings
64,65,DivReachedDest ,1 = diverted flight reached scheduled destination
65,66,DivActualElapsedTime ,Elapsed time of diverted flight reaching scheduled destination
66,67,DivArrDelay ,Difference in minutes between scheduled and actual arrival time
67,68,DivDistance ,Distance between scheduled and diverted airport
68,69,Div1Airport ,Diverted Airport 1
69,70,Div1AirportID ,Diverted Airport 1 ID
70,71,Div1AirportSeqID ,Diverted Airport 1 Sequence ID
71,72,Div1WheelsOn ,"Diverted Airport 1 wheels on time (local, hhmm)"
72,73,Div1TotalGTime ,Diverted Airport 1 total ground time away from gate
73,74,Div1LongestGTime ,Diverted Airport 1 longest ground time away from gate
74,75,Div1WheelsOff ,"Diverted Airport 1 wheels off time (local, hhmm)"
75,76,Div1TailNum ,Diverted Airport 1 aircraft tail number
76,77,Div2Airport ,Diverted Airport 2
77,78,Div2AirportID ,Diverted Airport 2 ID
78,79,Div2AirportSeqID ,Diverted Airport 2 Sequence ID
79,80,Div2WheelsOn ,"Diverted Airport 2 wheels on time (local, hhmm)"
80,81,Div2TotalGTime ,Diverted Airport 2 total ground time away from gate
81,82,Div2LongestGTime ,Diverted Airport 2 longest ground time away from gate
82,83,Div2WheelsOff ,"Diverted Airport 2 wheels off time (local, hhmm)"
83,84,Div2TailNum ,Diverted Airport 2 aircraft tail number
84,85,Div3Airport ,Diverted Airport 3
85,86,Div3AirportID ,Diverted Airport 3 ID
86,87,Div3AirportSeqID ,Diverted Airport 3 Sequence ID
87,88,Div3WheelsOn ,"Diverted Airport 3 wheels on time (local, hhmm)"
88,89,Div3TotalGTime ,Diverted Airport 3 total ground time away from gate
89,90,Div3LongestGTime ,Diverted Airport 3 longest ground time away from gate
90,91,Div3WheelsOff ,"Diverted Airport 3 wheels off time (local, hhmm)"
91,92,Div3TailNum ,Diverted Airport 3 aircraft tail number
92,93,Div4Airport ,Diverted Airport 4
93,94,Div4AirportID ,Diverted Airport 4 ID
94,95,Div4AirportSeqID ,Diverted Airport 4 Sequence ID
95,96,Div4WheelsOn ,"Diverted Airport 4 wheels on time (local, hhmm)"
96,97,Div4TotalGTime ,Diverted Airport 4 total ground time away from gate
97,98,Div4LongestGTime ,Diverted Airport 4 longest ground time away from gate
98,99,Div4WheelsOff ,"Diverted Airport 4 wheels off time (local, hhmm)"
99,100,Div4TailNum ,Diverted Airport 4 aircraft tail number
100,101,Div5Airport ,Diverted Airport 5
101,102,Div5AirportID ,Diverted Airport 5 ID
102,103,Div5AirportSeqID ,Diverted Airport 5 Sequence ID
103,104,Div5WheelsOn ,"Diverted Airport 5 wheels on time (local, hhmm)"
104,105,Div5TotalGTime ,Diverted Airport 5 total ground time away from gate
105,106,Div5LongestGTime ,Diverted Airport 5 longest ground time away from gate
106,107,Div5WheelsOff ,"Diverted Airport 5 wheels off time (local, hhmm)"
107,108,Div5TailNum ,
